,Stem,Score,sType,TF,wTF,wTFref
communism,commun,0.5190853677137476,raw,3,0.0002456600065509335,0.00014618356479064425
communities,commun,1.747155723618744,raw,6,0.000491320013101867,8.56218022345202e-05
community,commun,0.1724607596285167,raw,7,0.0005732066819521781,0.000482405763809126
companies,compani,0.994819671668468,raw,6,0.000491320013101867,0.00018168528766837215
company,compani,-0.05500245283020953,raw,7,0.0005732066819521781,0.0006056176255612404
compete,compet,1.632086393833957,raw,3,0.0002456600065509335,4.803174271692597e-05
competition,competit,2.2338837958056743,raw,15,0.0012283000327546676,0.00013156520831157984
competitions,competit,0.9174330080530478,stem,3,0.0002456600065509335,9.815182207371829e-05
competitive,competit,2.3144226582896863,raw,8,0.0006550933508024893,6.473843583585675e-05
complete,complet,0.07439954645230205,raw,5,0.00040943334425155587,0.00038007726845567505
completely,complet,0.06710024397069027,raw,3,0.0002456600065509335,0.00022971703038529812
complex,complex,0.5444031756980374,raw,4,0.00032754667540124465,0.00019003863422783752
composed,compos,2.0595304086608963,raw,8,0.0006550933508024893,8.353346559465386e-05
computer,comput,3.0499291126887735,raw,7,0.0005732066819521781,2.7148376318262503e-05
concept,concept,0.8357549770387808,raw,5,0.00040943334425155587,0.00017750861438863946
concepts,concept,1.4717437437587775,raw,3,0.0002456600065509335,5.638508927639136e-05
concerned,concern,0.5554530118846224,raw,6,0.000491320013101867,0.00028192544638195677
conditions,condit,-0.4253762411271038,raw,3,0.0002456600065509335,0.00037590059517594236
conducted,conduct,0.7602474245306355,raw,3,0.0002456600065509335,0.00011485851519264906
confused,confus,1.494216599610836,raw,5,0.00040943334425155587,9.188681215411925e-05
connected,connect,1.2710730482966262,raw,3,0.0002456600065509335,6.891510911558943e-05
connection,connect,0.5334741051658471,raw,3,0.0002456600065509335,0.0001440952281507779
considerably,consider,0.9833909758448454,raw,3,0.0002456600065509335,9.188681215411925e-05
considerations,consider,1.3335934052779603,raw,3,0.0002456600065509335,6.473843583585675e-05
considered,consid,1.4849018283362887,raw,17,0.0013920733704552899,0.00031533883261981833
consistent,consist,1.4353760995879026,raw,3,0.0002456600065509335,5.84734259162577e-05
consists,consist,1.5172061178355347,raw,5,0.00040943334425155587,8.97984755142529e-05
contemporary,contemporari,1.7073098150715442,raw,9,0.0007369800196528005,0.00013365354495144618
context,context,1.7230581720396836,raw,5,0.00040943334425155587,7.309178239532212e-05
continent,contin,2.445192889472881,raw,5,0.00040943334425155587,3.550172287772789e-05
continental,continent,1.8231416305966661,raw,3,0.0002456600065509335,3.9678396157460584e-05
continue,continu,0.09475177530120026,raw,3,0.0002456600065509335,0.00022345202046569908
continued,continu,0.38805710530734355,raw,5,0.00040943334425155587,0.0002777487731022241
contrast,contrast,0.9743411403249275,raw,5,0.00040943334425155587,0.00015453691135010965
control,control,0.20770669869019137,raw,7,0.0005732066819521781,0.00046569907069019526
conventions,convent,3.5511852854386134,raw,8,0.0006550933508024893,1.8795029758797117e-05
cook,cook,2.8145529929389292,raw,20,0.0016377333770062235,9.815182207371828e-05
cooking,cook,1.3018447069633798,raw,3,0.0002456600065509335,6.682677247572309e-05
cost,cost,-0.6661413937911331,raw,3,0.0002456600065509335,0.0004782290905293933
council,council,0.6436772452994616,raw,5,0.00040943334425155587,0.00021509867390623368
countries,countri,1.9475253502844017,raw,27,0.0022109400589584017,0.00031533883261981833
country,countri,1.3222120097878138,raw,31,0.0025384867343596464,0.0006766210713166962
course,cours,-1.086774723372469,raw,4,0.00032754667540124465,0.0009710765375378511
court,court,-0.15967307539409797,raw,5,0.00040943334425155587,0.00048031742716925967
courtroom,courtroom,,noref,4,0.00032754667540124465,
create,creat,0.7785965631988321,raw,3,0.0002456600065509335,0.00011277017855278271
created,creat,1.353960708102394,raw,8,0.0006550933508024893,0.00016915526782917406
creation,creation,1.4497648370400025,raw,5,0.00040943334425155587,9.606348543385193e-05
creative,creativ,1.9743726003205895,raw,9,0.0007369800196528005,0.00010232849535345098
creature,creatur,2.0595304086608968,raw,3,0.0002456600065509335,3.1325049597995194e-05
creatures,creatur,2.0595304086608963,raw,4,0.00032754667540124465,4.176673279732693e-05
crime,crime,3.5148176412677388,raw,30,0.002456600065509335,7.309178239532212e-05
criminal,crimin,2.5703560324268873,raw,8,0.0006550933508024893,5.012007935679232e-05
criminals,crimin,2.9758211405350514,raw,3,0.0002456600065509335,1.253001983919808e-05
criteria,criteria,2.657367409416517,raw,4,0.00032754667540124465,2.297170303852981e-05
